Round,Date,Local/Visit,Cavalry/Opponent,Team,Position,Player,Photo,heatmap,Minutes played,Goals,Assists,Saves,Goal Against
1,4/5/2025,visit,Forge,Cavalry,GK,Carducci,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04130741/CFC_MARCO-CARDUCCI_318x530.png,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-carducci.png,90,0,0,3,1
1,4/5/2025,visit,Forge,Cavalry,RB,Field,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04133104/CFC_TOM-FIELD_318-x-530.png,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-field.png,90,0,0,0,0
1,4/5/2025,visit,Forge,Cavalry,DF,Aird,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04125814/CFC_FRASER-AIRD_318x530.png,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-aird.png,90,0,0,0,0
1,4/5/2025,visit,Forge,Cavalry,DF,Montgomery,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04125254/CFC_CALLUM-MONTGOMERY_318x530.png,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-montgomery.png,90,0,0,0,0
1,4/5/2025,visit,Forge,Cavalry,LB,Kamdem,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04125155/CFC_BRADLEY-KAMDEM-FEWO_318x530.png,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-kamdem.png,77,0,0,0,0
1,4/5/2025,visit,Forge,Cavalry,DMF,Shome,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04133016/CFC_SHAMIT-SHOME_318x530.png,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-shome.png,77,0,0,0,0
1,4/5/2025,visit,Forge,Cavalry,DMF,Myroniuk,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04132654/CFC_NIKO-MYRONIUK_318x530.png,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-myroniuk.png,65,0,0,0,0
1,4/5/2025,visit,Forge,Cavalry,RW,Musse,https://cdn.canpl.ca/app/uploads/cpl/2025/04/02123648/CFC_ALI-MUSSE_318x530.png,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-musse.png,90,0,0,0,0
1,4/5/2025,visit,Forge,Cavalry,MF,Camargo,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04132916/CFC_SERGIO-CAMARGO_318x530.png,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-camargo.png,90,0,0,0,0
1,4/5/2025,visit,Forge,Cavalry,LW,Herdman,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04130017/CFC_JAY-HERDMAN_318x530.png,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-herdman.png,65,0,0,0,0
1,4/5/2025,visit,Forge,Cavalry,CF,Warschewski,https://cpl-network.s3.amazonaws.com/opta_photos/players/__placeholders/placeholder_120x120-100.jpg,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-warschewski.png,90,0,0,0,0
1,4/5/2025,visit,Forge,Cavalry,LW,Wahling,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04132052/CFC_NICHOLAS-WAHLING_318x530.png,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/4-5-wahling.png,25,0,0,0,0
